place_name,id_review,caption,language_select,relative_date,retrieval_date,rating,username,n_review_user,n_photo_user,url_user,url_source
阿秀古早味肉粽,ChdDSUhNMG9nS0VJQ0FnSURjelBtMjBRRRAB,一口粽為店內特色小肉粽，集細緻精華於一小顆粽子，包粽的人忙碌時不小心還會因纏繞粽繩而扭傷手筋，售價15元。基本款原味肉粽的鹹蛋黃質感佳與肉粽很搭配，帶少許肥白的肉塊經適度調理顯得軟嫩可口，整體而言，原料糯米的濃郁Q彈再予以細究一些更臻完美。,Chinese,1 年前,2022-01-03 23:48:14.616519,3.0,李曉嬋,0,0,https://www.google.com/maps/contrib/106355108276360210380/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=12253881562377326685
阿秀古早味肉粽,ChdDSUhNMG9nS0VJQ0FnSURDNmRlb3lnRRAB,想到過世30年阿嬤包的，吃到一半的時候！,Chinese,1 年前,2022-01-03 23:48:14.617551,5.0,汪文綜,0,0,https://www.google.com/maps/contrib/111402695096786969255/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=12253881562377326685
阿秀古早味肉粽,ChdDSUhNMG9nS0VJQ0FnSUNjdHN1SDR3RRAB,原本一顆10元，漲價到15元稍貴~,Chinese,1 年前,2022-01-03 23:48:14.617551,3.0,台北表哥,0,0,https://www.google.com/maps/contrib/106385679419899774042/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=12253881562377326685
阿秀古早味肉粽,ChdDSUhNMG9nS0VJQ0FnSURJeDRUeW5nRRAB,口味獨特。有一口粽。對於胃口小的女性。是最佳選擇。阿秀肉粽不輸市面上連鎖肉粽店,Chinese,2 年前,2022-01-03 23:48:14.618540,4.0,黃俊宏,0,0,https://www.google.com/maps/contrib/108512593170860512587/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=12253881562377326685
阿秀古早味肉粽,ChZDSUhNMG9nS0VJQ0FnSUNRNGV6d2RBEAE,"非常好吃,還有五穀和紫米的都好吃，本人是喜歡吃常溫的，但價格偏高，可能是物價上漲，但好吃就好",Chinese,2 年前,2022-01-03 23:48:14.618540,3.0,難得一身龜苓膏,0,0,https://www.google.com/maps/contrib/109592123148285395299/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=12253881562377326685
阿秀古早味肉粽,ChdDSUhNMG9nS0VJQ0FnSURBZ0lqOXp3RRAB,一口粽很有名氣又好吃,Chinese,3 年前,2022-01-03 23:48:14.619528,2.0,蔡武林,0,0,https://www.google.com/maps/contrib/111844272753366143712/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=12253881562377326685
阿秀古早味肉粽,ChZDSUhNMG9nS0VJQ0FnSUNRaTVid1p3EAE,口味獨特 好滋味！,Chinese,5 年前,2022-01-03 23:48:14.619528,5.0,Tony JaaJaa,0,0,https://www.google.com/maps/contrib/104027369547707861266/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=12253881562377326685
阿秀古早味肉粽,ChZDSUhNMG9nS0VJQ0FnSURJX2RLU1pnEAE,(由 Google 提供翻譯) 好吃！  (原始評論) 好吃！,Chinese,2 年前,2022-01-03 23:48:14.619528,5.0,Shihya Huang,0,0,https://www.google.com/maps/contrib/107851684221436675238/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=12253881562377326685
阿秀古早味肉粽,ChdDSUhNMG9nS0VJQ0FnSURRekxiODZRRRAB,,Chinese,4 年前,2022-01-03 23:48:14.620519,4.0,Aa0988137038 ALONG0985792898,0,0,https://www.google.com/maps/contrib/109583486211149513387/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=12253881562377326685
阿秀古早味肉粽,ChdDSUhNMG9nS0VJQ0FnSUM0OE5mSDZBRRAB,,Chinese,2 年前,2022-01-03 23:48:14.620519,4.0,albert H,0,0,https://www.google.com/maps/contrib/106529239963681118467/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=12253881562377326685
