place_name,id_review,caption,language_select,relative_date,retrieval_date,rating,username,n_review_user,n_photo_user,url_user,url_source
赤崁棺材板,ChdDSUhNMG9nS0VJQ0FnSUNtaVl5WDZBRRAB,看到收了錢的手再去碰我們要吃的吐司 真的很想吐…… 衛生不好 態度也很爛 重點上菜超久卻不好吃…還很貴！ 心裡告訴自己絕對不會去第二次了,Chinese,1 天前,2022-01-03 16:08:54.569276,1.0,嘎儒,0,0,https://www.google.com/maps/contrib/112066040760334616829/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=1322526713838872754
赤崁棺材板,ChdDSUhNMG9nS0VJQ0FnSURHaC0tVTBBRRAB,乾炒鱔魚麵$130調味跟烹調都好吃 棺材板$70口感酥，內餡特別很像玉米濃湯 看一旁感覺老客人都是點特餐,Chinese,3 週前,2022-01-03 16:08:54.569939,4.0,Hsueh丞佑,0,0,https://www.google.com/maps/contrib/108212699866419463203/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=1322526713838872754
赤崁棺材板,ChdDSUhNMG9nS0VJQ0FnSURHcU1DWGpRRRAB,老店 價格偏貴 炒飯有勾芡 不難吃但與一般炒飯口味口感有異,Chinese,1 個月前,2022-01-03 16:08:54.569939,3.0,許勝傑,0,0,https://www.google.com/maps/contrib/106193705953980596022/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=1322526713838872754
赤崁棺材板,ChdDSUhNMG9nS0VJQ0FnSUNHd2R1czFRRRAB,薄吐司放咖喱，沒有咖喱味，吐司有焦香脆，鱔魚麵是黃軟麵，本人比較喜歡港式的炒麵。環境窄小但是乾淨，上菜快。,Chinese,2 個月前,2022-01-03 16:08:54.570939,3.0,謝玉珍,0,0,https://www.google.com/maps/contrib/114518805546543612937/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=1322526713838872754
赤崁棺材板,ChdDSUhNMG9nS0VJQ0FnSUNHb19HRDFnRRAB,歷史悠久的棺材板店 台南很少棺材板了 聽說臺南人都不吃了 棺材板讓給花蓮 這間味道還不錯 鱔魚意麵也很讚 可以來吃吃看,Chinese,1 個月前,2022-01-03 16:08:54.570939,5.0,ACT Tseng,0,0,https://www.google.com/maps/contrib/108275878296447179281/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=1322526713838872754
赤崁棺材板,ChdDSUhNMG9nS0VJQ0FnSUQ2eC0zV213RRAB,在地人推薦的超～歷史店家  人生首次嚐試棺材板，外面的麵包體酥脆好吃，搭配上裡頭偏甜的濃湯還滿酷的，一份份量普通，大食怪可以再點別的品項組合。  p.s. 同行友人激推豆腐羹，說用料很豐富也不膩，但我沒吃到😫,Chinese,2 個月前,2022-01-03 16:08:54.571939,4.0,Ching Kuo,0,0,https://www.google.com/maps/contrib/112566881482850978113/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=1322526713838872754
赤崁棺材板,ChdDSUhNMG9nS0VJQ0FnSURHdGZDY3JRRRAB,記得剛來台南就去朝聖 當時一份才50元 轉眼間現在一份要價70元了 這次是直接外帶回家 店家很貼心的把內餡分開裝 回家簡單用個氣炸鍋炸和微波一下內餡 真的是爆炸好吃欸 味道完全不輸內用 現炸的敢說是這輩子吃過最好吃的棺材板了！內餡顏色雖然看起來很普通 卻有滿滿黑胡椒的味道 奶味也很濃郁 很特別的是外表完全看不出來~,Chinese,4 週前,2022-01-03 16:08:54.571939,5.0,YMS,0,0,https://www.google.com/maps/contrib/100390375616696330256/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=1322526713838872754
赤崁棺材板,ChZDSUhNMG9nS0VJQ0FnSUNHbUlxaUVBEAE,好吃，排骨飯維持小時候的古早味，很值得推薦,Chinese,2 個月前,2022-01-03 16:08:54.571939,4.0,lin lily,0,0,https://www.google.com/maps/contrib/103316890791916389373/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=1322526713838872754
赤崁棺材板,ChZDSUhNMG9nS0VJQ0FnSUQ2eGN6VEdBEAE,在Google上找棺材板就來到了這家，第一次吃，外面很酥很好吃，但裡面就是一般濃湯再濃一點的感覺，沒有很特別的地方。 還有點鱔魚意麵和豆腐羹，因為沒吃過想嘗試但都不是很合胃口，可能每個人吃感覺不一樣，沒吃過的話還是可以試一下看看喜不喜歡。 店內有冷氣是最好的地方，外面實在太熱了哈哈哈，不過就是店員好兇….,Chinese,2 個月前,2022-01-03 16:08:54.572951,3.0,Sasa Chen,0,0,https://www.google.com/maps/contrib/117239325094683272040/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=1322526713838872754
赤崁棺材板,ChdDSUhNMG9nS0VJQ0FnSUNHM0sydGd3RRAB,不知道是不是疫情影響的關係，之前棺材板炸出來都是金黃色的，現在這是什麼玩意？內餡也不優，服務態度超差，桌子也沒擦乾淨，不但有麵包屑還有水，服務員拿來的餐具就直接灑在這骯髒的桌上，一點衛生觀念都沒有更不用說防疫了，反正感覺也不缺錢可能也不在乎，我自己是不會再來用餐了，其它人就自己保重吧,Chinese,2 個月前,2022-01-03 16:08:54.572951,1.0,Hung Kuang Wu,0,0,https://www.google.com/maps/contrib/117347130646568418270/reviews?hl=zh-Hant-TW,https://maps.google.com/?cid=1322526713838872754
